name,parameters,memory_MB,mean,std,min,max
/model.9/m/m.0/attn/Constant_3_output_0,4,3.0517578125e-05,67.75,108.71378707413334,1.0,256.0
model.9.m.0.attn.pe.conv.weight,2304,0.0087890625,-0.07687829434871674,0.3106526732444763,-2.4572393894195557,4.358511447906494
model.9.m.0.attn.pe.conv.bias,256,0.0009765625,0.005370135419070721,0.2164609730243683,-1.4052910804748535,0.8384230732917786
model.9.m.0.attn.proj.conv.weight,65536,0.25,-0.00022931570129003376,0.05165739357471466,-0.39264219999313354,0.42556923627853394
model.9.m.0.attn.proj.conv.bias,256,0.0009765625,-0.048764266073703766,0.29614394903182983,-0.9836103320121765,0.9745855331420898
model.9.m.0.ffn.0.conv.weight,131072,0.5,-0.0017132936045527458,0.04435529559850693,-0.801052451133728,0.27452728152275085
model.9.m.0.ffn.0.conv.bias,512,0.001953125,-1.8080854415893555,0.42006608843803406,-3.6405136585235596,-0.517078161239624
model.9.m.0.ffn.1.conv.weight,131072,0.5,-0.0011526846792548895,0.28563231229782104,-2.136521816253662,2.4628560543060303
model.9.m.0.ffn.1.conv.bias,256,0.0009765625,-0.1280135214328766,2.450577974319458,-9.738140106201172,11.989526748657227
model.9.cv2.conv.weight,262144,1.0,-0.0005737480241805315,0.026972925290465355,-0.42893752455711365,0.26566779613494873
model.9.cv2.conv.bias,512,0.001953125,-1.1442514657974243,0.5845540165901184,-2.851081371307373,0.7897576689720154
model.10.conv.conv.weight,655360,2.5,0.02210184559226036,0.7444832921028137,-5.528881072998047,16.02942657470703
model.10.conv.conv.bias,1280,0.0048828125,-2.1816341876983643,1.4903918504714966,-6.849472999572754,3.4483413696289062
model.10.linear.weight,98560,0.3759765625,-0.005187944509088993,0.02764362096786499,-0.10345458984375,0.081298828125
model.10.linear.bias,77,0.000293731689453125,0.00075742561602965,0.016287125647068024,-0.03021240234375,0.03125
